Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C6, C8",0603,4,10uf,
"C10, C2, C3, C5",0201,4,0u1f,
C11,0201,1,10nf,
C12,0603,1,22uf,
C7,0201,1,1uf,
C9,0201,1,3.3nf,
D1,0603,1,LED,
"D2, D3",0603,2,D_Schottky,
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_14P,
"J2, J3",PinHeader_1x16_P2.54mm_Vertical,2,Conn_01x16,
"R1, R2",0201,2,5k1,
R10,0402,1,523k,
R3,0201,1,5.1k,
"R4, R5",0201,2,10k,
"R6, R9",0201,2,100k,
"R7, R8",0201,2,4.7k,
"SW1, SW3",SW_Push_1P1T_NO_CK_KMR2,2,SW_Push,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,Texas_SIL0008D_MicroSiP-8-1EP_2.8x3mm_P0.65mm_EP1.1x1.9mm_ThermalVias,1,TPS82130,
U3,SOT-666,1,USBLC6-2P6,
U4,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,
U5,SOT-223-3_TabPin2,1,TLV76133DCY,
